id,check,adm.level,Bundesland,Landkreis,intervention,start,end,comment,reference,reference2
"1,CORRECT,1,,,speech,2020-03-13,,""Merkel,Steinmeier"",https://www.rnd.de/politik/steinmeier-zu-corona-epidemie-dauer-der-krise-noch-nicht-absehbar-PUQP6YC7SGPT2LHBU6TGUH5NIQ.html,https://www.nytimes.com/2020/03/11/world/europe/coronavirus-merkel-germany.html"
367,CORRECT,2,Mecklenburg-Vorpommern,,sports open,2020-04-30,,limited,https://www.regierung-mv.de/static/Regierungsportal/Ministerium%20f%C3%BCr%20Wirtschaft%2c%20Arbeit%20und%20Gesundheit/Dateien/Downloads/GVOBl.%2021%20v%2029.%20April%202020%203.%C3%84ndVO%20Corona.pdf,
369,CORRECT,2,Mecklenburg-Vorpommern,,churches open,2020-05-04,,,https://www.regierung-mv.de/static/Regierungsportal/Ministerium%20f%C3%BCr%20Wirtschaft%2c%20Arbeit%20und%20Gesundheit/Dateien/Downloads/GVOBl.%2021%20v%2029.%20April%202020%203.%C3%84ndVO%20Corona.pdf,
370,CORRECT,2,Mecklenburg-Vorpommern,,restaurants open,2020-05-09,,,https://www.regierung-mv.de/static/Regierungsportal/Ministerium%20f%C3%BCr%20Wirtschaft%2c%20Arbeit%20und%20Gesundheit/Dateien/Downloads/Endfassung_GVO_26_corona.pdf,
371,CORRECT,2,Mecklenburg-Vorpommern,,events open,2020-05-18,,75,https://www.regierung-mv.de/static/Regierungsportal/Ministerium%20f%C3%BCr%20Wirtschaft%2c%20Arbeit%20und%20Gesundheit/Dateien/Downloads/Endfassung_GVO_26_corona.pdf,
374,CORRECT,2,Mecklenburg-Vorpommern,,shops open,2020-05-07,,,https://www.regierung-mv.de/static/Regierungsportal/Ministerium%20f%C3%BCr%20Wirtschaft%2c%20Arbeit%20und%20Gesundheit/Dateien/Downloads/GVOBl.%20Nr.%2024%20v.%206.5.2020%205.%C3%84ndCor.pdf,
377,CORRECT,2,Mecklenburg-Vorpommern,,schools open,2020-04-27,,limited,https://www.regierung-mv.de/Landesregierung/bm/Blickpunkte/Coronavirus/Coronavirus-%E2%80%93-Informationen-f%C3%BCr-schule/,
378,CORRECT,2,Mecklenburg-Vorpommern,,kitas open,2020-05-11,,,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Projekte_RKI/KiTAStudie_Mai.pdf?__blob=publicationFile,
382,NEW,2,Niedersachsen,,kitas,2020-03-16,,,https://www.hasepost.de/niedersachsen-zieht-nach-schulschliessungen-ab-dem-16-maerz-178383/,
383,CORRECT,2,Niedersachsen,,gatherings,2020-03-23,,hh+1,https://www.niedersachsen.de/download/153376/Allgemeinverfuegung_des_Niedersaechsischen_Gesundheitsministeriums_zur_Beschraenkung_von_Sozialen_Kontakten_vom_22.03.2020.pdf,
384,CORRECT,2,Niedersachsen,,distance,2020-03-23,,,https://www.niedersachsen.de/download/153376/Allgemeinverfuegung_des_Niedersaechsischen_Gesundheitsministeriums_zur_Beschraenkung_von_Sozialen_Kontakten_vom_22.03.2020.pdf,
